Lift,Athlete,Team,Weight,Date,Meet ,Site
45 kg,,,,,,
Snatch,Vivy Calizon,Jerks that Jerk,33,04/16/2023,2023 Cap City Open,Alexandria VA
Clean & Jerk,Vivy Calizon,Jerks that Jerk,46,04/16/2023,2023 Cap City Open,Alexandria VA
Total ,Vivy Calizon,Jerks that Jerk,79,04/16/2023,2023 Cap City Open,Alexandria VA
49 kg,,,,,,
Snatch,Shirley Lam,Tinner Hil Weightlifting Club,45,10/10/2021,2021 Trident Classic,
Clean & Jerk,Shirley Lam,Tinner Hil Weightlifting Club,58,10/10/2021,2021 Trident Classic,
Total ,Shirley Lam,Tinner Hil Weightlifting Club,103,10/10/2021,2021 Trident Classic,
55 kg,,,,,,
Snatch,Jessica Pine,East Coast Gold W/L Team,61,10/14/2023,2023 DMV WSO Championships and Fall Brawl,
Clean & Jerk,Jessica Pine,East Coast Gold W/L Team,85,10/14/2023,2023 DMV WSO Championships and Fall Brawl,
Total ,Jessica Pine,East Coast Gold W/L Team,146,10/14/2023,2023 DMV WSO Championships and Fall Brawl,
59 kg,,,,,,
Snatch,Elizabeth Bartlett,East Coast Gold W/L Team,71,01/25/2020,Rosedale Open,"Rosedale, MD"
Clean & Jerk,Elizabeth Bartlett,East Coast Gold W/L Team,88,01/25/2020,Rosedale Open,"Rosedale, MD"
Total ,Elizabeth Bartlett,East Coast Gold W/L Team,159,01/25/2020,Rosedale Open,"Rosedale, MD"
64 kg,,,,,,
Snatch,Angela Carlberg,CHFP Weightlifting Club,87,07/03/2021,Nike 2021 USA Weightlifting National Championships,
Clean & Jerk,Angela Carlberg,CHFP Weightlifting Club,114,07/03/2021,Nike 2021 USA Weightlifting National Championships,
Total ,Angela Carlberg,CHFP Weightlifting Club,201,07/03/2021,Nike 2021 USA Weightlifting National Championships,
71 kg,,,,,,
Snatch,Jaclyn Alberts,RVA Weightlifting,86,01/28/2023,2023 RVA Open,
Clean & Jerk,Jaclyn Alberts,RVA Weightlifting,108,01/28/2023,2023 RVA Open,
Total ,Jaclyn Alberts,RVA Weightlifting,194,01/28/2023,2023 RVA Open,
76 kg,,,,,,
Snatch,Angelica Christopher,CHFP Weightlifting Club,80,12/05/2021,Nike 2021 North American Open Finals,
Clean & Jerk,Angelica Christopher,CHFP Weightlifting Club,100,12/05/2021,Nike 2021 North American Open Finals,
Total ,Angelica Christopher,CHFP Weightlifting Club,180,12/05/2021,Nike 2021 North American Open Finals,
81 kg,,,,,,
Snatch,Teresa Kiel,East Coast Gold W/L Team,84,12/10/2023,2023 Nike North American Open Finals,
Clean & Jerk,Teresa Kiel,East Coast Gold W/L Team,102,12/10/2023,2023 Nike North American Open Finals,
Total ,Teresa Kiel,East Coast Gold W/L Team,186,12/10/2023,2023 Nike North American Open Finals,
87 kg,,,,,,
Snatch,Lauren McHugh,East Coast Gold W/L Team,75,03/24/2024,Nike 2024 USA Weightlifting Masters National Championships ,
Clean & Jerk,Yvgeni Henderson,Heavy Metal Barbell,95,10/14/2023,2023 Nike North American Open Finals,
Total ,Yvgeni Henderson,Heavy Metal Barbell,165,10/14/2023,2023 Nike North American Open Finals,
87+ kg,,,,,,
Snatch,Ambrea Watts,CHFP Weightlifting Club,86,07/04/2021,Nike 2021 USA Weightlifting National Championships,
Clean & Jerk,Ambrea Watts,CHFP Weightlifting Club,114,07/04/2021,Nike 2021 USA Weightlifting National Championships,
Total ,Ambrea Watts,CHFP Weightlifting Club,200,07/04/2021,Nike 2021 USA Weightlifting National Championships,
